partnumber,VehicleRawProperties,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,Brand,UvdbFromYearID,UvdbToYearID,Action,,,,,,,,,,,,,,,,
SPPCF56036B,"{""VW Jetta Mk 6 (1B)"":""Estate (2WD) 1.4TSi1.6FSi,1.8TSi,2.0FSi,2.0TSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2010-2018 (5C)""}",0,,76,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF55036B,"{""VW Jetta Mk 6 (1B)"":""Estate (2WD) 1.6TDi1.9TDi,2.0TDi,3.2V6,Will only fit models fitted with 55mm front struts (not 50mm)., 2010-2018 (5C)""}",0,,77,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF56036B,"{""VW Jetta Mk 6 (1B)"":""Saloon (2WD) 1.4TSi1.6FSi,1.8TSi,2.0FSi,2.0TSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2010-2018 (5C)""}",0,,78,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF55036B,"{""VW Jetta Mk 6 (1B)"":""Saloon (2WD) 1.6TDi1.9TDi,2.0TDi,3.2V6,Will only fit models fitted with 55mm front struts (not 50mm)., 2010-2018 (5C)""}",0,,79,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF44036B,"{""VW Passat Mk 5 (3C)"":""Estate (2WD) 1.4TSi1.6FSi,1.8TSi,2.0FSi,2.0TFSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2010 (3C)""}",0,,80,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF45036B,"{""VW Passat Mk 5 (3C)"":""Estate (2WD) 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2010 (3C)""}",0,,81,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF47036B,"{""VW Passat Mk 5 (3C)"":""Estate (2WD & 4Motion) 1.4TSi1.8TSi,1.8TFSi,2.0TFSi,1.6TDi,2.0TDi,Excluding Alltrack models. Will only fit models fitted with 55mm front struts (not 50mm)., 2010-2014 (3C)""}",0,,82,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF46036B,"{""VW Passat Mk 5 (3C)"":""Estate (4Motion) 1.4TSi1.6FSi,1.8TSi,2.0FSi,1.9TDi,Excluding Alltrack models. Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2010 (3C)""}",0,,83,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF44036B,"{""VW Passat Mk 5 (3C)"":""Saloon (2WD) 1.4TSi1.6FSi,1.8TSi,2.0FSi,2.0TFSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2010 (3C)""}",0,,84,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF45036B,"{""VW Passat Mk 5 (3C)"":""Saloon (2WD) 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2010 (3C)""}",0,,85,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
