partnumber,VehicleRawProperties_asli,VehicleRawProperties,make,Model,engine,Years,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,UvdbFromYearID,UvdbToYearID,Action,format_data,format_data
470021,JEEP Wrangler 3.6 06-,JEEP Wrangler 3.6 ,,,,2006,,,,,,,,,"{""make"": ""J"", ""model"": ""E"", ""engine"": ""E""}","{""make"": ""J"", ""model"": ""E"", ""engine"": ""E""}"
470022,Audi A4 1995-,Audi A4 ,,,,1995,,,,,,,,,"{""make"": ""A"", ""model"": ""u"", ""engine"": ""d""}","{""make"": ""A"", ""model"": ""u"", ""engine"": ""d""}"
470023,DACIA Duster 03/2010>,DACIA Duster 03/2010>,,,,,,,,,,,,,"{""make"": ""D"", ""model"": ""A"", ""engine"": ""C""}","{""make"": ""D"", ""model"": ""A"", ""engine"": ""C""}"
470024,HONDA HRV 1.5 14-,HONDA HRV 1.5 ,,,,2014,,,,,,,,,"{""make"": ""H"", ""model"": ""O"", ""engine"": ""N""}","{""make"": ""H"", ""model"": ""O"", ""engine"": ""N""}"
470025,VOLVO XC90 2.0D 15-,VOLVO XC90 2.0D ,,,,2015,,,,,,,,,"{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}","{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}"
470026,Jaduar F-Pace 2015-,Jaduar F-Pace ,,,,2015,,,,,,,,,"{""make"": ""J"", ""model"": ""a"", ""engine"": ""d""}","{""make"": ""J"", ""model"": ""a"", ""engine"": ""d""}"
470027,Jaguar XE 2015-,Jaguar XE ,,,,2015,,,,,,,,,"{""make"": ""J"", ""model"": ""a"", ""engine"": ""g""}","{""make"": ""J"", ""model"": ""a"", ""engine"": ""g""}"
470028,LandRover Discovery 2.7D 17-,LandRover Discovery 2.7D ,,,,2017,,,,,,,,,"{""make"": ""L"", ""model"": ""a"", ""engine"": ""n""}","{""make"": ""L"", ""model"": ""a"", ""engine"": ""n""}"
470029,HYUNDAI SantaFe 2.2D 18-,HYUNDAI SantaFe 2.2D ,,,,2018,,,,,,,,,"{""make"": ""H"", ""model"": ""Y"", ""engine"": ""U""}","{""make"": ""H"", ""model"": ""Y"", ""engine"": ""U""}"
47003,FORD Mondeo 2.0D 01-,FORD Mondeo 2.0D ,,,,2001,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
470030,OPEL Corsa 1.2 01-,OPEL Corsa 1.2 ,,,,2001,,,,,,,,,"{""make"": ""O"", ""model"": ""P"", ""engine"": ""E""}","{""make"": ""O"", ""model"": ""P"", ""engine"": ""E""}"
470031,DODGE Challenger 6.2 11-,DODGE Challenger 6.2 ,,,,2011,,,,,,,,,"{""make"": ""D"", ""model"": ""O"", ""engine"": ""D""}","{""make"": ""D"", ""model"": ""O"", ""engine"": ""D""}"
470032,VW Polo 1.2 09-,VW Polo 1.2 ,,,,2009,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
470033,VW Sharan 2.0D 10-,VW Sharan 2.0D ,,,,2010,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
470034,VW Sharan 2.0D 10-,VW Sharan 2.0D ,,,,2010,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
470035,PORSCHE 911 3.6 05-,PORSCHE 911 3.6 ,,,,2005,,,,,,,,,"{""make"": ""P"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""P"", ""model"": ""O"", ""engine"": ""R""}"
